"_lat","_lon","access","amenity","armrest","backrest","bench","bin","bus","capacity","changeset","check_date","check_date:shelter","colour","condition","construction:amenity","construction:shelter_type","covered","departures_board","description","direction","fixme","gtfs_id","highway","id","leisure","lit","mapillary","material","name","network","network:wikidata","network:wikipedia","note","operator","passenger_information_display","playground","public_transport","ref","ref:MTA","ref:signed","route_ref","seating","seats","shelter","shelter_type","sport","support","surface","survey:date","tactile_paving","timestamp","two_sided","uid","user","version","wheelchair"
"40.7174642","-74.0163552",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453251207","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.7174462","-74.0163696",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453251208","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.7175315","-74.0162611",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453251212","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.7174992","-74.0162332",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453251213","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.7175381","-74.0162016",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453251214","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.7179363","-74.0157127",,,,,,,,,145507475,,,,,,,,,,,,,,"node/11453260526","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-12-25T18:12:53Z",,11697944,"kguenther24",1,,
"40.708654","-74.0158751",,,,,,,,,145096913,,,,,,,,,,,,,,"node/11416396043","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-14T05:18:53Z",,11697944,"kguenther24",1,,
"40.7086145","-74.0157568",,,,,,,,,145096913,,,,,,,,,,,,,,"node/11416396044","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-14T05:18:53Z",,11697944,"kguenther24",1,,
"40.7125651","-74.0162118",,,,,,,,,145258348,,,,,,,,,,,,,,"node/11429291460","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-18T16:30:06Z",,11697944,"kguenther24",1,,
"40.712542","-74.0161658",,,,,,,,,145258348,,,,,,,,,,,,,,"node/11429291461","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-18T16:30:06Z",,11697944,"kguenther24",1,,
"40.7124748","-74.0160694",,,,,,,,,145258348,,,,,,,,,,,,,,"node/11429291462","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-18T16:30:06Z",,11697944,"kguenther24",1,,
"40.7123749","-74.016114",,,,,,,,,145258348,,,,,,,,,,,,,,"node/11429300894","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-18T16:30:06Z",,11697944,"kguenther24",1,,
"40.7123903","-74.0162549",,,,,,,,,145258348,,,,,,,,,,,,,,"node/11429300896","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-18T16:30:06Z",,11697944,"kguenther24",1,,
"40.7214327","-74.0147422",,,,,,,,,145863856,,,,,,,,,,,,,,"node/8282447790","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2024-01-04T04:45:04Z",,11697944,"kguenther24",2,,
"40.7219076","-74.0061604",,,,,,,,,143598059,,,,,,,,,,,,,,"node/11311088251","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-04T03:37:06Z",,11697944,"kguenther24",1,,
"40.7219205","-74.0061298",,,,,,,,,143598059,,,,,,,,,,,,,,"node/11311088252","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-04T03:37:06Z",,11697944,"kguenther24",1,,
"40.7219317","-74.0061028",,,,,,,,,143598059,,,,,,,,,,,,,,"node/11311088253","picnic_table",,,,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-11-04T03:37:06Z",,11697944,"kguenther24",1,,
"40.7203545","-74.010753",,,,,,,,,145676787,,,,,,,,,,,,,,"node/11466760399","picnic_table",,,,,,,,,,,,,,,,,,,,,,,,,,"2023-12-29T20:41:32Z",,11697944,"kguenther24",1,,
