"_lat","_lon","access","amenity","armrest","backrest","bench","bin","bus","capacity","changeset","check_date:shelter","colour","covered","departures_board","direction","gtfs_id","highway","id","layer","leisure","lit","mapillary","material","name","network","network:wikidata","network:wikipedia","note","operator","passenger_information_display","public_transport","ref","ref:MTA","ref:signed","route_ref","seats","shelter","source","sport","support","surface","survey:date","tactile_paving","timestamp","two_sided","uid","user","version","wheelchair"
"40.7098258","-73.9884105",,,,,,,,,138243255,,,,,,,,"node/7293283829",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2023-07-07T20:16:47Z",,11697944,"kguenther24",2,,
"40.70985","-73.9884082",,,,,,,,,138243255,,,,,,,,"node/7293283836",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2023-07-07T20:16:47Z",,11697944,"kguenther24",2,,
"40.7214327","-74.0147422",,,,,,,,,145863856,,,,,,,,"node/8282447790",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2024-01-04T04:45:04Z",,11697944,"kguenther24",2,,
"40.7211317","-73.9918887",,,,,"yes",,,,111357905,,,,,,,,"node/9102300639",,"picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7211096","-73.9918207",,,,,"yes",,,,111357905,,,,,,,,"node/9102300640",,"picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7210751","-73.9917163",,,,,"yes",,,,111357905,,,,,,,,"node/9102300641",,"picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7211687","-73.9920263",,,,,"yes",,,,111357905,,,,,,,,"node/9102300642",,"picnic_table",,,"metal",,,,,,,,,,,,,,,,,,,,,"2021-09-18T00:06:41Z",,5156387,"zhik",1,,
"40.7147343","-73.9886049",,,,,,,,,126066680,,,,,,,,"node/9108990317",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7147314","-73.9886375",,,,,,,,,126066680,,,,,,,,"node/9108990318",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7147285","-73.98867",,,,,,,,,126066680,,,,,,,,"node/9108990319",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2022-09-11T22:36:07Z",,4082127,"mbeyerle",2,,
"40.7243107","-73.9821491",,,,,,,,,111474535,,,,,,,,"node/9109841448",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2021-09-21T05:16:23Z",,5156387,"zhik",1,,
"40.7144284","-74.0002725",,,,,"yes",,,,137771001,,,"no",,,,,"node/9115779796",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2023-06-26T02:19:57Z",,19501525,"astory",2,,
"40.7210033","-73.9919533",,,,,"yes",,,,113179400,,,,,,,,"node/9213181345",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-10-31T04:38:15Z",,5156387,"zhik",1,,
"40.7166732","-73.9850878",,,,,,,,,114374574,,,,,,,,"node/9294358695",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.7166403","-73.9849906",,,,,,,,,114374574,,,,,,,,"node/9294358696",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.7166157","-73.9849076",,,,,,,,,114374574,,,,,,,,"node/9294358697",,"picnic_table",,,,,,,,,,,,,,,,,,,"chess",,,,,"2021-11-29T19:32:55Z",,4082127,"mbeyerle",1,,
"40.717896","-73.9845945",,,,,"yes",,,,115720165,,,,,,,,"node/9388695560",,"picnic_table",,,"concrete",,,,,,,,,,,,,,,,"chess",,,,,"2022-01-03T16:54:58Z",,4082127,"mbeyerle",1,,
"40.7178188","-73.9846335",,,,,"yes",,,,115720165,,,,,,,,"node/9388695561",,"picnic_table",,,"concrete",,,,,,,,,,,,,,,,"chess",,,,,"2022-01-03T16:54:58Z",,4082127,"mbeyerle",1,,
"40.7079007","-74.0040433",,,,,,,,,143700012,,,"no",,,,,"node/9532192835",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2023-11-06T16:02:02Z",,11697944,"kguenther24",3,,
"40.7079176","-74.0039079",,,,,,,,,143700012,,,"no",,,,,"node/9532192836",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2023-11-06T16:02:02Z",,11697944,"kguenther24",3,,
"40.707878","-74.0040496",,,,,,,,,143700012,,,,,,,,"node/9532192837",,"picnic_table",,,,,,,,,,,,,,,,,,,,,,,,"2023-11-06T16:02:02Z",,11697944,"kguenther24",2,,
